timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
0,34,0,108,100,False,1,15.367362043276724,0,0.158783872576794,80,
1,108,1,108,100,False,1,14.417911413062738,0,0.1728786347951358,80,
2,108,2,846,0,False,1,95.40993913297946,1,2.391540227795353,100,
3,846,0,643,0,False,2,66.4380453199002,1,0.4118545181186725,80,
4,643,1,108,100,False,1,14.757394847789982,0,0.16321892932117787,80,
5,108,0,73,100,False,1,14.272287140676085,0,0.17175116292127382,60,
6,73,2,642,0,False,2,67.5450352665094,1,0.35210335618233857,80,
7,642,0,432,0,False,3,45.35417426658517,1,0.253891421456739,60,
8,432,0,38,100,False,1,13.993945265191844,0,0.1741005561402847,40,
9,38,0,3,100,False,1,14.17847335857962,0,0.18006996644814421,20,
10,3,2,228,40.39006639660294,False,4,34.33837048356422,0,0.2392658789717074,40,
11,228,2,432,0,False,3,45.15379928922049,1,0.30308236150987933,60,
12,432,1,73,100,False,1,14.080195349879908,0,0.1737655764667479,60,
13,73,2,108,100,False,1,14.291638053343307,0,0.1606531072169632,80,
14,108,0,432,0,False,3,45.84809773035429,1,0.26599561875366845,60,
15,432,1,431,83.11516845567559,False,3,45.274380707095546,0,0.21404427764844486,60,
16,431,1,73,100,False,1,14.91577088260727,0,0.16592597874335635,60,
17,73,1,73,100,False,1,13.495984751122332,0,0.1666038151399253,60,
18,73,0,228,40.284134576766306,False,4,33.56920960574666,0,0.23934870089202404,40,
19,228,2,431,44.82507570702969,False,3,43.16063957667496,0,0.238419175816474,60,
20,431,1,73,100,False,1,13.907576613694266,0,0.16313186392353385,60,
21,73,2,108,100,False,1,14.234838021761679,0,0.17572537660281642,80,
22,108,0,431,44.922572258621514,False,3,45.93310859950529,0,0.23834547315858115,60,
23,431,1,431,63.9523738166678,False,3,43.90771450559758,0,0.22608299992224778,60,
24,431,1,73,100,False,1,14.147779430457438,0,0.16500929462947353,60,
25,73,2,108,100,False,1,14.37563838912346,0,0.1714874935043265,80,
26,108,1,643,0,False,2,63.94588664237275,1,0.4018798578791931,80,
27,643,2,846,0,False,1,88.3201312809941,1,2.499939442215887,100,
28,846,1,143,100,False,1,13.706656752795347,0,0.1735785892689557,100,
29,143,2,143,100,False,1,13.968939615109646,0,0.15573789936623542,100,
30,143,0,643,0,False,2,64.70954465218566,1,0.4174026631971063,80,
31,643,0,431,70.68751683215922,False,3,45.67899099708066,0,0.2221031692764924,60,
32,431,1,73,100,False,1,14.08495470478076,0,0.1676712142458822,60,
33,73,1,73,100,False,1,14.486818227488996,0,0.1702216001015421,60,
34,73,0,228,42.73181157384257,False,4,34.41734075447317,0,0.23749549819104368,40,
35,228,2,432,0,False,3,46.03481175549596,1,0.27186779220462376,60,
36,432,0,38,100,False,1,13.410959972922553,0,0.16788208808722993,40,
37,38,0,3,100,False,1,13.857054214736415,0,0.16769367289004747,20,
38,3,1,24,79.4491291996149,False,7,19.197927407525466,0,0.18185623218788605,20,
39,24,2,228,42.11448143349309,False,4,32.63334815890857,0,0.2379516564137268,40,
40,228,0,3,100,False,1,13.59717359352277,0,0.16634963060181385,20,
41,3,2,38,100,False,1,14.149905421728661,0,0.16112345376330503,40,
42,38,0,24,79.78029320673032,False,7,18.96206850240932,0,0.18855519691065206,20,
43,24,2,227,89.99099058566057,False,4,33.869840869580486,0,0.1976841649953326,40,
44,227,2,73,100,False,1,14.4801525955963,0,0.16320870943459428,60,
45,73,1,73,100,False,1,14.287314473919148,0,0.1839337884699684,60,
46,73,1,431,79.77340097354474,False,3,46.42834917513981,0,0.21640563609788174,60,
47,431,2,641,42.254719161406264,False,2,67.50193690823562,0,0.24332999086863316,80,
48,641,1,108,100,False,1,14.268091869779042,0,0.16380945567022331,80,
